level,system,expression_group,expression_subgroup,row_count,sum_count,scenario_count,scenarios,share_of_system_level_group_subgroup_rows,share_of_system_level_group_subgroup_sum
trigrams,HYBRID_3_5,temporal_projection,time_horizons,16,35,4,S1;S3;S5;S7,0.410256,0.397727
trigrams,HYBRID_3_5,truth,fact_vs_interpretation,1,2,1,S3,0.027778,0.026316
trigrams,HYBRID_3_5,truth,uncertainty_marking,1,2,1,S1,0.027778,0.026316
trigrams,HYBRID_3_5,truth,verification,34,72,4,S1;S3;S5;S7,0.944444,0.947368
trigrams,HYBRID_SEMANTIC,imagination_and_possibility,exploration_within_bounds,6,12,3,S1;S5;S7,0.193548,0.164384
trigrams,HYBRID_SEMANTIC,imagination_and_possibility,path_toward_feasibility,23,57,2,S1;S3,0.741935,0.780822
trigrams,HYBRID_SEMANTIC,imagination_and_possibility,speculative_boundary_marking,1,2,1,S5,0.032258,0.027397
trigrams,HYBRID_SEMANTIC,imagination_and_possibility,tension_as_fuel,1,2,1,S7,0.032258,0.027397
trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,action_and_execution,46,103,4,S1;S3;S5;S7,0.505495,0.530928
trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraints_and_tradeoffs,18,36,4,S1;S3;S5;S7,0.197802,0.185567
trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,friction_and_blockers,2,4,2,S1;S7,0.021978,0.020619
trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,resources_timing_conditions,25,51,3,S1;S3;S7,0.274725,0.262887
trigrams,HYBRID_SEMANTIC,temporal_projection,change_and_rate,15,34,3,S1;S3;S7,0.348837,0.350515
trigrams,HYBRID_SEMANTIC,temporal_projection,decay_and_currency,8,18,1,S5,0.186047,0.185567
trigrams,HYBRID_SEMANTIC,temporal_projection,past_present_future,3,7,3,S1;S3;S7,0.069767,0.072165
trigrams,HYBRID_SEMANTIC,temporal_projection,robustness_and_resilience,4,8,2,S1;S5,0.093023,0.082474
trigrams,HYBRID_SEMANTIC,temporal_projection,time_horizons,13,30,3,S1;S3;S7,0.302326,0.309278
trigrams,HYBRID_SEMANTIC,truth,fact_vs_interpretation,4,8,2,S1;S5,0.100000,0.089888
trigrams,HYBRID_SEMANTIC,truth,verification,36,81,4,S1;S3;S5;S7,0.900000,0.910112
