word,total_count,leader_system,leader_count,leader_share,others_avg_share,ratio,CONTROL,AC15,AC15P,HYBRID_3_5,HYBRID_SEMANTIC
glossary,6,HYBRID_SEMANTIC,5,0.0018096272167933405,9.622786759045419e-05,18.805646036916396,0,0,0,1,5
fund,24,AC15,20,0.006920415224913495,0.00038037654439263945,18.193590869183495,1,20,0,0,3
impact,6,AC15,5,0.0017301038062283738,9.622786759045419e-05,17.979238754325262,0,5,0,1,0
procurement,6,AC15,5,0.0017301038062283738,9.622786759045419e-05,17.979238754325262,0,5,0,1,0
enterprise,6,HYBRID_3_5,5,0.001924557351809084,0.00010893246187363834,17.66743648960739,1,0,0,5,0
revision,6,HYBRID_3_5,5,0.001924557351809084,0.00010893246187363834,17.66743648960739,1,0,0,5,0
siblings,12,AC15P,10,0.002987750224081267,0.00017301038062283736,17.269196295189722,0,2,10,0,0
detours,9,HYBRID_SEMANTIC,7,0.0025334781035106766,0.00014938751120406333,16.959102424900472,0,0,2,0,7
summary,9,CONTROL,7,0.0030501089324618735,0.00018096272167933406,16.854901960784314,7,0,0,0,2
guaranteed,10,HYBRID_SEMANTIC,8,0.002895403546869345,0.00017301038062283736,16.735432500904814,0,2,0,0,8
backed,6,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00010893246187363834,16.612377850162865,1,0,0,0,5
equivalent,9,HYBRID_3_5,7,0.0026943802925327174,0.00017301038062283736,15.573518090839107,0,2,0,7,0
local,11,AC15P,9,0.00268897520167314,0.00017698655115108572,15.193104697416691,0,1,9,0,1
system,7,CONTROL,5,0.002178649237472767,0.00016119894591345036,13.515282157257467,5,1,1,0,0
given,10,HYBRID_SEMANTIC,8,0.002895403546869345,0.00021786492374727668,13.289902280130294,2,0,0,0,8
selected,10,AC15P,8,0.0023902001792650133,0.00018096272167933406,13.208246190618464,0,0,8,0,2
raw,16,AC15P,13,0.003884075291305647,0.00030437011405869536,12.761027157077038,2,1,13,0,0
objective,8,HYBRID_3_5,6,0.0023094688221709007,0.00018362621747567,12.577010265306473,1,0,1,6,0
state,13,CONTROL,9,0.00392156862745098,0.000314562627645762,12.466734070733828,9,0,3,0,1
redundancy,14,AC15,11,0.0038062283737024223,0.0003083462845869437,12.344005956813106,2,11,0,0,1
period,20,AC15,15,0.005190311418685121,0.0004234950895194004,12.255895161795854,1,15,3,0,1
convert,7,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00014938751120406333,12.113644589214623,0,0,2,0,5
o,11,CONTROL,8,0.003485838779956427,0.0002886836027713626,12.074945533769062,8,0,0,3,0
traces,8,HYBRID_SEMANTIC,6,0.002171552660152009,0.00018362621747567,11.825940162600876,1,0,1,0,6
swap,10,CONTROL,7,0.0030501089324618735,0.0002595155709342561,11.753086419753085,7,3,0,0,0
measured,7,AC15,5,0.0017301038062283738,0.00014938751120406333,11.581314878892735,0,5,2,0,0
assets,10,CONTROL,7,0.0030501089324618735,0.00026746791199075274,11.403644309181006,7,1,0,0,2
now,28,HYBRID_SEMANTIC,20,0.007238508867173362,0.0006436001857972471,11.246903010456409,1,1,6,0,20
degraded,15,HYBRID_SEMANTIC,11,0.003981179876945349,0.00035574343852471025,11.191154764387349,0,3,0,1,11
forced,7,HYBRID_3_5,5,0.001924557351809084,0.00017301038062283736,11.123941493456506,0,2,0,5,0
escalators,7,HYBRID_3_5,5,0.001924557351809084,0.00017301038062283736,11.123941493456506,0,2,0,5,0
activities,9,AC15P,7,0.002091425156856887,0.00019245573518090838,10.867045115028384,0,0,7,2,0
counts,8,AC15,6,0.0020761245674740486,0.00019245573518090838,10.787543252595157,0,6,0,2,0
emi,38,AC15P,29,0.008664475649835674,0.0008077147446398747,10.72714805237187,0,6,29,3,0
demand,8,HYBRID_SEMANTIC,6,0.002171552660152009,0.00020516032946409253,10.58466159527238,1,0,0,1,6
date,15,HYBRID_SEMANTIC,11,0.003981179876945349,0.00038878654693976254,10.240014497112169,2,0,1,1,11
together,9,CONTROL,6,0.00261437908496732,0.0002595155709342561,10.074074074074073,6,3,0,0,0
operationally,7,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00018273305790187289,9.903118995387825,0,1,0,1,5
canonical,7,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00018362621747567,9.85495013550073,1,0,1,0,5
metrics,9,HYBRID_SEMANTIC,6,0.002171552660152009,0.000224081266806095,9.690915671371698,0,0,3,0,6
reduce,9,AC15P,7,0.002091425156856887,0.00021786492374727668,9.599641469973111,2,0,7,0,0
exclude,11,HYBRID_3_5,8,0.003079291762894534,0.000326797385620915,9.422632794457275,3,0,0,8,0
small,7,HYBRID_SEMANTIC,5,0.0018096272167933405,0.000195437652185057,9.259358145992419,1,1,0,0,5
stress,11,AC15,8,0.002768166089965398,0.0003013881970545467,9.184719630757145,1,8,0,2,0
lower,12,CONTROL,8,0.003485838779956427,0.00038491147036181676,9.056209150326797,8,0,0,4,0
irreversible,10,HYBRID_SEMANTIC,7,0.0025334781035106766,0.0002819428424964757,8.985786200769914,1,2,0,0,7
medical,10,AC15,7,0.002422145328719723,0.0002714440825190011,8.923183391003459,0,7,0,0,3
deep,11,HYBRID_SEMANTIC,8,0.002895403546869345,0.000326797385620915,8.859934853420196,3,0,0,0,8
interface,7,HYBRID_3_5,5,0.001924557351809084,0.00021786492374727668,8.833718244803695,2,0,0,5,0
devmate,7,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00020516032946409253,8.82055132939365,1,0,0,1,5
intersections,11,AC15P,8,0.0023902001792650133,0.0002714440825190011,8.805497460412308,0,0,8,0,3
delivery,18,AC15P,13,0.003884075291305647,0.00044843063367008677,8.661485187836622,0,1,13,0,4
chats,7,AC15P,5,0.0014938751120406335,0.00017301038062283736,8.634598147594861,0,2,5,0,0
hub,7,AC15P,5,0.0014938751120406335,0.00017301038062283736,8.634598147594861,0,2,5,0,0
needs,11,AC15P,8,0.0023902001792650133,0.00027719058926978826,8.622948511930336,0,0,8,1,2
approved,30,AC15,20,0.006920415224913495,0.0008027103742803459,8.621310308986422,1,20,8,1,0
buy,16,AC15,11,0.0038062283737024223,0.0004419461905533717,8.612424894841949,2,11,3,0,0
remote,8,HYBRID_3_5,5,0.001924557351809084,0.000224081266806095,8.588657942006671,0,0,3,5,0
being,9,HYBRID_SEMANTIC,6,0.002171552660152009,0.0002595155709342561,8.367716250452407,0,3,0,0,6
designated,7,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00021786492374727668,8.306188925081432,2,0,0,0,5
look,8,CONTROL,5,0.002178649237472767,0.0002634917414625044,8.268377693282638,5,2,0,0,1
keeping,8,CONTROL,5,0.002178649237472767,0.00026714949078294006,8.15516896958238,5,0,1,2,0
fast,7,AC15,5,0.0017301038062283738,0.00021786492374727668,7.9411764705882355,2,5,0,0,0
needed,10,CONTROL,6,0.00261437908496732,0.0003303502328833974,7.913961682872822,6,0,2,0,2
credits,8,CONTROL,5,0.002178649237472767,0.00027719058926978826,7.859751816293801,5,0,0,1,2
type,14,AC15P,10,0.002987750224081267,0.00038491147036181676,7.762175082163132,0,0,10,4,0
flights,13,AC15P,9,0.00268897520167314,0.0003499969317739231,7.68285364115722,0,3,9,0,1
current,17,HYBRID_3_5,11,0.004234026173979984,0.0005640027618683094,7.507101844598057,2,0,1,11,3
power,8,HYBRID_3_5,5,0.001924557351809084,0.0002595155709342561,7.415960995637669,0,3,0,5,0
veto,8,HYBRID_3_5,5,0.001924557351809084,0.0002595155709342561,7.415960995637669,0,3,0,5,0
session,21,HYBRID_SEMANTIC,14,0.005066956207021353,0.0006834339837194224,7.413965836825501,4,2,1,0,14
x,15,HYBRID_3_5,9,0.003464203233256351,0.00047178540303096403,7.342752045740996,0,2,4,9,0
right,10,CONTROL,6,0.00261437908496732,0.0003579492728304198,7.303769789206681,6,1,0,0,3
my,25,HYBRID_3_5,16,0.006158583525789068,0.0008432821085684491,7.303111809455847,2,2,0,16,5
recovery,12,AC15,8,0.002768166089965398,0.00038037654439263945,7.277436347673397,1,8,0,0,3
chose,10,AC15P,7,0.002091425156856887,0.00029166551977551124,7.170628734128781,1,1,7,1,0
end,19,HYBRID_SEMANTIC,12,0.004343105320304018,0.0006089927371679118,7.131620880244642,0,0,3,4,12
events,8,AC15,5,0.0017301038062283738,0.00024561537879451753,7.043955532099572,0,5,2,1,0
class,10,AC15P,7,0.002091425156856887,0.0003013881970545467,6.939306772117458,1,0,7,2,0
regional,9,AC15P,6,0.00179265013444876,0.0002595155709342561,6.907678518075889,0,3,6,0,0
issue,14,AC15P,10,0.002987750224081267,0.00043572984749455336,6.856886764266508,4,0,10,0,0
y,10,HYBRID_3_5,6,0.0023094688221709007,0.0003421616675927844,6.74964217476126,0,1,1,6,2
architecture,17,CONTROL,10,0.004357298474945534,0.0006463144543939697,6.741762381024337,10,0,1,5,1
rollback,14,AC15,9,0.0031141868512110727,0.00046389981769990945,6.713059010567662,0,9,0,2,3
limits,10,HYBRID_3_5,6,0.0023094688221709007,0.00034613783812103275,6.672107374066851,0,0,1,6,3
low,9,AC15P,6,0.00179265013444876,0.00026923824821329154,6.658229825610126,0,2,6,1,0
weekly,9,AC15P,6,0.00179265013444876,0.00026923824821329154,6.658229825610126,0,2,6,1,0
defensible,12,HYBRID_SEMANTIC,8,0.002895403546869345,0.00043572984749455336,6.644951140065147,4,0,0,0,8
within,28,AC15P,19,0.005676725425754407,0.0008722319695798951,6.5082748898650955,4,4,19,0,1
landings,11,AC15,7,0.002422145328719723,0.00037341845686024244,6.486410310527977,0,7,0,2,2
key,9,AC15P,6,0.00179265013444876,0.00027719058926978826,6.467211383947752,0,0,6,1,2
clause,9,HYBRID_3_5,5,0.001924557351809084,0.00029877502240812666,6.441493456505004,0,0,4,5,0
logistics,9,HYBRID_3_5,5,0.001924557351809084,0.00029877502240812666,6.441493456505004,0,0,4,5,0
access,14,HYBRID_3_5,8,0.003079291762894534,0.00047973774408746075,6.418698134231335,0,0,4,8,2
signed,8,AC15,5,0.0017301038062283738,0.000274107578315337,6.311769331083722,1,5,1,0,1
config,9,CONTROL,5,0.002178649237472767,0.00034602076124567473,6.296296296296297,5,4,0,0,0
reduced,10,HYBRID_SEMANTIC,6,0.002171552660152009,0.00034602076124567473,6.275787187839305,0,4,0,0,6
triggers,13,HYBRID_SEMANTIC,8,0.002895403546869345,0.0004655690599721457,6.219063498426146,2,2,1,0,8
user,26,AC15,16,0.005536332179930796,0.0008958049097664329,6.180287827819908,2,16,4,3,1
d,18,CONTROL,10,0.004357298474945534,0.0007191207968981045,6.059202422931651,10,3,1,4,0
predefined,9,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00029877502240812666,6.056822294607311,0,0,4,0,5
hot,11,CONTROL,6,0.00261437908496732,0.00043252595155709344,6.044444444444444,6,5,0,0,0
stack,14,HYBRID_SEMANTIC,8,0.002895403546869345,0.0004824012398837967,6.00206489429174,1,0,5,0,8
qualified,27,CONTROL,14,0.006100217864923747,0.0010183816385393178,5.99010983119589,14,0,10,0,3
recall,11,HYBRID_SEMANTIC,7,0.0025334781035106766,0.0004230252532113692,5.988952395342688,3,0,0,1,7
required,23,HYBRID_SEMANTIC,13,0.004705030763662686,0.0007920945374275133,5.9399863795844645,0,2,7,1,13
artifacts,12,AC15P,8,0.0023902001792650133,0.0004045741521773979,5.907940896374806,2,0,8,1,1
free,9,AC15,5,0.0017301038062283738,0.00029877502240812666,5.790657439446368,0,5,4,0,0
outside,13,CONTROL,7,0.0030501089324618735,0.0005385935733019412,5.663099382643303,7,0,1,2,3
two,22,AC15P,14,0.004182850313713774,0.0007476129964189241,5.594940609312145,1,3,14,3,1
external,10,HYBRID_3_5,6,0.0023094688221709007,0.00041330257593233367,5.5878403781083845,3,1,0,6,0
continuum,12,CONTROL,6,0.00261437908496732,0.00046969664560061254,5.56610124737904,6,0,5,1,0
cap,18,HYBRID_SEMANTIC,10,0.003619254433586681,0.0006524297035024854,5.547347728279655,0,1,5,2,10
line,8,AC15P,5,0.0014938751120406335,0.0002714440825190011,5.503435912757693,0,0,5,0,3
rights,12,AC15,7,0.002422145328719723,0.0004419461905533717,5.480634023990331,2,7,3,0,0
code,10,AC15,6,0.0020761245674740486,0.0003791649636110296,5.475517958467974,0,6,0,3,1
healthcare,18,CONTROL,9,0.00392156862745098,0.0007196066161311911,5.449600572788565,9,0,6,0,3
normal,17,CONTROL,9,0.00392156862745098,0.000721209554328456,5.437488457987073,9,5,0,3,0
separate,19,HYBRID_3_5,10,0.003849114703618168,0.0007196066161311911,5.348915111859447,0,0,6,10,3
continuity,18,HYBRID_3_5,10,0.003849114703618168,0.0007224211351100658,5.328075988573796,1,5,0,10,2
tell,10,HYBRID_3_5,6,0.0023094688221709007,0.00043572984749455336,5.300230946882217,4,0,0,6,0
become,14,AC15,8,0.002768166089965398,0.0005271005598003668,5.251684974521386,0,8,1,0,5
highway,9,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00034602076124567473,5.229822656532754,0,4,0,0,5
criteria,24,AC15P,15,0.0044816253361219,0.0008617332096024204,5.200710946476806,3,2,15,0,4
shared,14,CONTROL,7,0.0030501089324618735,0.0005917532169155503,5.154359698051557,7,0,3,1,3
know,10,HYBRID_3_5,5,0.001924557351809084,0.00037346877801015837,5.153194765204003,0,0,5,5,0
package,14,HYBRID_3_5,7,0.0026943802925327174,0.0005228562892142217,5.153194765204002,0,0,7,7,0
probability,13,AC15P,8,0.0023902001792650133,0.0004646759003983486,5.143800608587593,1,3,8,1,0
m,18,CONTROL,9,0.00392156862745098,0.0007647635975383877,5.127818112778486,9,2,3,1,3
path,23,AC15P,14,0.004182850313713774,0.0008168786664779811,5.120528280838048,1,4,14,0,4
property,16,AC15P,10,0.002987750224081267,0.0005863129565551711,5.095828414974017,3,3,10,0,0
